,exp_path,batch_size,bn,cpu,device,dropout,dropout_rate,epochs,exp_no,gamma,kfold,loss_fn,lr,model,note,optim,scheduler,step_size,0.0 f1-score,0.0 precision,0.0 recall,0.0 support,1.0 f1-score,1.0 precision,1.0 recall,1.0 support,accuracy,macro avg f1-score,macro avg precision,macro avg recall,macro avg support,weighted avg f1-score,weighted avg precision,weighted avg recall,weighted avg support,conv_blocks,filters,hidden_layers,hidden_units,kernel_size
799,..\experiments\1717,256,FALSE,FALSE,0,FALSE,0.5,128,1717,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.964468109,0.95106756,0.978438857,413.8,0.917153742,0.947951348,0.889046247,186.2,0.950333333,0.940810926,0.949509454,0.933742552,600,0.94986691,0.950656165,0.950333333,600,1,128,2,64,3
1496,..\experiments\2344,256,FALSE,FALSE,0,FALSE,0.5,128,2344,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.964468109,0.95106756,0.978438857,413.8,0.917153742,0.947951348,0.889046247,186.2,0.950333333,0.940810926,0.949509454,0.933742552,600,0.94986691,0.950656165,0.950333333,600,1,128,2,64,3
2038,..\experiments\640,256,FALSE,FALSE,0,FALSE,0.5,128,640,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.964468109,0.95106756,0.978438857,413.8,0.917153742,0.947951348,0.889046247,186.2,0.950333333,0.940810926,0.949509454,0.933742552,600,0.94986691,0.950656165,0.950333333,600,1,128,2,64,3
2225,..\experiments\809,256,FALSE,FALSE,0,FALSE,0.5,128,809,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.963351857,0.967837144,0.959591097,413.8,0.919048261,0.914075078,0.927036283,186.2,0.949666667,0.941200059,0.940956111,0.94331369,600,0.949856387,0.951473432,0.949666667,600,2,256,4,64,1
2045,..\experiments\647,256,FALSE,FALSE,0,FALSE,0.5,128,647,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.964645662,0.949920924,0.980345735,413.8,0.91597772,0.954010283,0.883547382,186.2,0.950333333,0.940311691,0.951965604,0.931946559,600,0.949743689,0.951539408,0.950333333,600,2,256,2,64,1
299,..\experiments\1267,256,FALSE,FALSE,0,FALSE,0.5,128,1267,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.96345101,0.965137071,0.962006873,413.8,0.918799833,0.915876078,0.922939879,186.2,0.949666667,0.941125422,0.940506574,0.942473376,600,0.949742185,0.950349163,0.949666667,600,2,128,5,256,1
2035,..\experiments\638,256,FALSE,FALSE,0,FALSE,0.5,128,638,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.964161575,0.957011873,0.971840541,413.8,0.916973267,0.93429342,0.902329536,186.2,0.95,0.940567421,0.945652646,0.937085038,600,0.949732945,0.950651474,0.95,600,1,256,2,64,1
105,..\experiments\1092,256,FALSE,FALSE,0,FALSE,0.5,128,1092,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.964262997,0.957842661,0.971192935,413.8,0.916304143,0.933828036,0.901668924,186.2,0.95,0.94028357,0.945835348,0.936430929,600,0.949702024,0.950642727,0.95,600,3,64,3,128,5
2032,..\experiments\635,256,FALSE,FALSE,0,FALSE,0.5,128,635,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.964262997,0.957842661,0.971192935,413.8,0.916304143,0.933828036,0.901668924,186.2,0.95,0.94028357,0.945835348,0.936430929,600,0.949702024,0.950642727,0.95,600,3,64,3,128,5
764,..\experiments\1686,256,FALSE,FALSE,0,TRUE,0.5,128,1686,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.963587173,0.959210874,0.968395675,413.8,0.918318705,0.927550876,0.910830239,186.2,0.949666667,0.940952939,0.943380875,0.939612957,600,0.949525236,0.95026948,0.949666667,600,1,128,3,64,2
